Topic,Count,Name,Representation,Representative_Docs
-1,35179,-1_taste_food_good_order,"['taste', 'food', 'good', 'order', 'tasty', 'quality', 'bad', 'good taste', 'quantity', 'ordered']","['good taste', 'Good taste.', 'The taste was not that good, and the raita that was ordered was also not delivered']"
0,5150,0_ha_hi_ni_hy,"['ha', 'hi', 'ni', 'hy', 'ap', 'na', 'ho', 'nai', 'maza', 'bhai']","['oder complet nai ha or 2 ghaty bad oder aya ha BC raita algr order kiya wo ay hi nai', 'namak tezz ha or raita b ni bheja deal ma tha', 'Bilal wahab nam ha raider ka wo hummara order lay kar bag gaya ha faida kia ha order Karne ha hummara AK ganta bhi zaya hota ha ap Kuch karo Galat karty ho']"
1,3743,1_burger_sandwich_burgers_zinger burger,"['burger', 'sandwich', 'burgers', 'zinger burger', 'zinger', 'burger good', 'club', 'patty', 'club sandwich', 'chicken burger']","['Always a good burger', 'The burger was so fuckng good❤️❤', 'Chootiya burger']"
2,3326,2_chicken_good chicken_piece_chicken chicken,"['chicken', 'good chicken', 'piece', 'chicken chicken', 'cooked', 'pieces', 'chicken piece', 'ordered chicken', 'quantity chicken', 'chicken pieces']","['not enough chicken', 'Less chicken', 'Very less chicken']"
3,2879,3_pizza_dough_crust_cheese,"['pizza', 'dough', 'crust', 'cheese', 'bread', 'topping', 'large', 'small', 'fajita', 'toppings']","['good pizza', 'Gang Pizza Realy . Give us Gang Vibes .        Thankxxxx  😃 😊 😀', 'undefilled pizza .']"
4,2637,4_fries_loaded fries_loaded_fries good,"['fries', 'loaded fries', 'loaded', 'fries good', 'burger', 'soggy', 'sauce', 'burgers', 'zinger', 'pizza']","['Cheapest fries', 'yummo fries 🍟', 'where is my fries ?']"
5,2068,5_biryani_biryani taste_chicken_rice,"['biryani', 'biryani taste', 'chicken', 'rice', 'raita', 'piece', 'spicy', 'single', 'double', 'chicken piece']","['biryani was good', 'Good biryani', 'biryani no good']"
6,1593,6_taste_ha_thora_taste ha,"['taste', 'ha', 'thora', 'taste ha', 'hi', 'ni', 'hy', 'taste taste', 'bs', 'ho']","['taste acha tha bht', 'taste axha nhi tha', 'boht acha taste hai zabardast']"
7,1521,7_yummy_tasty_delicious_delicious tasty,"['yummy', 'tasty', 'delicious', 'delicious tasty', 'tasty delicious', 'yummy delicious', 'yummy tasty', 'delicious yummy', 'tasty yummy', 'tasty fresh']","['delicious yummy 😋 such a yummy and delicious taste 😋', 'excellent 👌 delicious tasty and yummy 😋', 'tasty, delicious, yummy 😋😋😋']"
8,1496,8_rice_fried rice_rice good_fried,"['rice', 'fried rice', 'rice good', 'fried', 'manchurian', 'boiled', 'rice taste', 'quantity', 'chicken', 'chicken rice']","['not good rice', 'No rice', 'chickenless rice']"
9,1404,9_chicken_hi_na_ni,"['chicken', 'hi', 'na', 'ni', 'chicken piece', 'piece', 'ma', 'mai', 'sy', 'chicken quantity']","['chicken biryani my chicken hi nhi', 'chicken tha he nhi', 'chicken inspired tha']"
10,1235,10_pasta_noodles_alfredo_spaghetti,"['pasta', 'noodles', 'alfredo', 'spaghetti', 'macaroni', 'pasta good', 'white sauce', 'sauce', 'white', 'boiled']","['No taste of pasta', 'Not good pasta', 'pasta is amaizing!']"
11,1122,11_paratha_parathas_aloo paratha_paratha good,"['paratha', 'parathas', 'aloo paratha', 'paratha good', 'aloo', 'chai', 'omelette', 'good paratha', 'daal', 'halwa']","['Aloo Paratha is not good in taste', 'Taste of chai and aloo paratha was really good. But you have mentioned 2 parathas per serving while I received only one.', 'Paratha was awese']"
12,1004,12_food_good food_food good_tasty food,"['food', 'good food', 'food good', 'tasty food', 'amazing food', 'delicious food', 'quality food', 'food highly', 'fresh food', 'food food']","['yummu food enough for 3persons', 'to much yammmmyyyyyy food thnku so much', 'very delicous food 💖👍🏻']"
13,1004,13_taste taste_good taste_taste_great taste,"['taste taste', 'good taste', 'taste', 'great taste', 'taste great', 'taste good', 'taste love', 'amazing taste', 'taste amazing', 'taste delicious']","['Good Taste 👍', 'Good taste 👍', 'good  taste 👍']"
14,965,14_quantity quantity_quantity_low_quantity low,"['quantity quantity', 'quantity', 'low', 'quantity low', 'low quantity', 'price', 'price quantity', 'high', 'small quantity', 'prices']","['quantity is very low', 'the quantity was very low', 'very low quantity and low quality']"
15,914,15_spicy_spicy spicy_spice_good spicy,"['spicy', 'spicy spicy', 'spice', 'good spicy', 'bit spicy', 'spices', 'spicy good', 'spicy taste', 'bit', 'little']","['Too spicy and full of atta only', 'It was too spicy', 'Too much spicy 🥵']"
16,880,16_order_complete_wrong order_wrong,"['order', 'complete', 'wrong order', 'wrong', 'order order', 'didnt', 'receive', 'received', 'incomplete', 'received order']","['complete order is not delivered', 'my order was not received yet and you show order was delivered', 'Order is not complete. Incomplete order delivered']"
17,799,17_burger_zinger burger_zinger_sandwich,"['burger', 'zinger burger', 'zinger', 'sandwich', 'na', 'ni', 'chicken burger', 'ha', 'sa', 'chota']","['cheese burger me cheese thi hi nhi...simple zinger burger bhej diya wo b bilkul halka sa 2 bite ka.', 'taste acha hai burger ka', 'Burger full mazadaeeer alaw']"
18,764,18_cheese_cheese paratha_chicken cheese_paratha,"['cheese', 'cheese paratha', 'chicken cheese', 'paratha', 'cheese chicken', 'good cheese', 'ordered cheese', 'paratha good', 'aloo', 'chicken']","['Chicken cheese paratha is tasty but cheese quantity is less otherwise everything is good', 'No cheese in cheese paratha', 'Ordered chicken cheese and aloo cheese paratha but there was no cheese']"
